Attrition,Employee Attrition Status,Business Travel,Department,Education Field,emp no,Gender,Job Role,Marital Status,Over Time,Training Times Last Year,Age,Age Group,Daily Rate,Distance From Home,Education,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,1,Travel_Rarely,Sales,Life Sciences,STAFF-1,Female,Sales Executive,Single,Yes,0,41,36-45,"$1,102.00 ",1,Associates Degree,2,94,3,2,4,"$5,993.00 ","$19,479.00 ",8,11,3,1,0,8,1,6,4,0,5
No,0,Travel_Frequently,R&D,Life Sciences,STAFF-2,Male,Research Scientist,Married,No,3,49,46-55,$279.00 ,8,High School,3,61,2,2,2,"$5,130.00 ","$24,907.00 ",1,23,4,4,1,10,3,10,7,1,7
Yes,1,Travel_Rarely,R&D,Other,STAFF-3,Male,Laboratory Technician,Single,Yes,3,37,36-45,"$1,373.00 ",2,Associates Degree,4,92,2,1,3,"$2,090.00 ","$2,396.00 ",6,15,3,2,0,7,3,0,0,0,0
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-4,Female,Research Scientist,Married,Yes,3,33,26-35,"$1,392.00 ",3,Master's Degree,4,56,3,1,3,"$2,909.00 ","$23,159.00 ",1,11,3,3,0,8,3,8,7,3,0
Yes,1,Travel_Rarely,R&D,Medical,STAFF-5,Male,Laboratory Technician,Married,No,3,27,26-35,$591.00 ,2,High School,1,40,3,1,2,"$3,468.00 ","$16,632.00 ",9,12,3,4,1,6,3,2,2,2,2
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-6,Male,Laboratory Technician,Single,No,2,32,26-35,"$1,005.00 ",2,Associates Degree,4,79,3,1,4,"$3,068.00 ","$11,864.00 ",0,13,3,3,0,8,2,7,7,3,6
Yes,1,Travel_Rarely,R&D,Medical,STAFF-7,Female,Laboratory Technician,Married,Yes,3,59,56-65,"$1,324.00 ",3,Bachelor's Degree,3,81,4,1,1,"$2,670.00 ","$9,964.00 ",4,20,4,1,3,12,2,1,0,0,0
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-8,Male,Laboratory Technician,Divorced,No,2,30,26-35,"$1,358.00 ",24,High School,4,67,3,1,3,"$2,693.00 ","$13,335.00 ",1,22,4,2,1,1,3,1,0,0,0
Yes,1,Travel_Frequently,R&D,Life Sciences,STAFF-9,Male,Manufacturing Director,Single,No,2,38,36-45,$216.00 ,23,Bachelor's Degree,4,44,2,3,3,"$9,526.00 ","$8,787.00 ",0,21,4,2,0,10,3,9,7,1,8
Yes,1,Travel_Rarely,R&D,Medical,STAFF-10,Male,Healthcare Representative,Married,No,3,36,36-45,"$1,299.00 ",27,Bachelor's Degree,3,94,3,2,3,"$5,237.00 ","$16,577.00 ",6,13,3,2,2,17,2,7,7,7,7
Yes,1,Travel_Rarely,R&D,Medical,STAFF-11,Male,Laboratory Technician,Married,No,5,35,26-35,$809.00 ,16,Bachelor's Degree,1,84,4,1,2,"$2,426.00 ","$16,479.00 ",0,13,3,3,1,6,3,5,4,0,3
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-12,Female,Laboratory Technician,Single,Yes,3,29,26-35,$153.00 ,15,Associates Degree,4,49,2,2,3,"$4,193.00 ","$12,682.00 ",0,12,3,4,0,10,3,9,5,0,8
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-13,Male,Research Scientist,Divorced,No,1,31,26-35,$670.00 ,26,High School,1,31,3,1,3,"$2,911.00 ","$15,170.00 ",1,17,3,4,1,5,2,5,2,4,3
Yes,1,Travel_Rarely,R&D,Medical,STAFF-14,Male,Laboratory Technician,Divorced,No,2,34,26-35,"$1,346.00 ",19,Associates Degree,2,93,3,1,4,"$2,661.00 ","$8,758.00 ",0,11,3,3,1,3,3,2,2,1,2
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-15,Male,Laboratory Technician,Single,Yes,4,28,26-35,$103.00 ,24,Bachelor's Degree,3,50,2,1,3,"$2,028.00 ","$12,947.00 ",5,14,3,2,0,6,3,4,2,0,3
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-16,Female,Manufacturing Director,Divorced,No,1,29,26-35,"$1,389.00 ",21,Master's Degree,2,51,4,3,1,"$9,980.00 ","$10,195.00 ",1,11,3,3,1,10,3,10,9,8,8
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-17,Male,Research Scientist,Divorced,Yes,5,32,26-35,$334.00 ,5,Associates Degree,1,80,4,1,2,"$3,298.00 ","$15,053.00 ",0,12,3,4,2,7,2,6,2,0,5
Yes,1,Non-Travel,R&D,Medical,STAFF-18,Male,Laboratory Technician,Divorced,Yes,2,22,18-25,"$1,123.00 ",16,Associates Degree,4,96,4,1,4,"$2,935.00 ","$7,324.00 ",1,13,3,2,2,1,2,1,0,0,0
Yes,1,Travel_Rarely,Sales,Life Sciences,STAFF-19,Female,Manager,Married,No,3,53,46-55,"$1,219.00 ",2,Master's Degree,1,78,2,4,4,"$15,427.00 ","$22,021.00 ",2,16,3,3,0,31,3,25,8,3,7
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-20,Male,Research Scientist,Single,Yes,3,38,36-45,$371.00 ,2,Bachelor's Degree,4,45,3,1,4,"$3,944.00 ","$4,306.00 ",5,11,3,3,0,6,3,3,2,1,2
Yes,1,Non-Travel,R&D,Other,STAFF-21,Female,Manufacturing Director,Divorced,No,5,24,18-25,$673.00 ,11,Associates Degree,1,96,4,2,3,"$4,011.00 ","$8,232.00 ",0,18,3,4,1,5,2,4,2,1,3
Yes,1,Travel_Rarely,Sales,Life Sciences,STAFF-22,Male,Sales Representative,Single,No,4,36,36-45,"$1,218.00 ",9,Master's Degree,3,82,2,1,1,"$3,407.00 ","$6,986.00 ",7,23,4,2,0,10,3,5,3,0,3
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-23,Female,Research Director,Single,No,4,34,26-35,$419.00 ,7,Master's Degree,1,53,3,3,2,"$11,994.00 ","$21,293.00 ",0,11,3,3,0,13,3,12,6,2,11
Yes,1,Travel_Rarely,R&D,Life Sciences,STAFF-24,Male,Research Scientist,Single,No,6,21,18-25,$391.00 ,15,Associates Degree,3,96,3,1,4,"$1,232.00 ","$19,281.00 ",1,14,3,4,0,0,3,0,0,0,0
